,,,,,,,,,Total Counting Stats,,,,,,,,REC Yards ,,,,,Yards/Team Att (Rec and Rush),,,,,Total Dominator (Rush and Rec),,,,TDOa (Total Dominator over average),,,,PPR Pts,,,,PPR PPG,,,,Models,,,,"TDOa Diff from AVG Total Dominator REC and Rush Yards + Touchdown MS (>1 top 1 top 24 season, 2003-2016)",,,,,,Combine,,,,,,,,,,,,,,NFL Career Marks since 2000,,,,,
Name,my Player ID,School,Conference,DR,DP,NFL POS,Draft Year,Age IN DRAFT YEAR (9/1/dy),Years Played,rec,Touches,All Yards,YPTch,G,Years >= 20 Recs,REC/g,rec yards  First,rec yards  Best,rec yards  Last,rec yards  AVG,RUSH AVG,yards per team att  First,yards per team att  Best,yards per team att  Last,yards per team att  AVG,Rush College Dominator Rating,total dominator First,total dominator Last,total dominator Best,total dominator AVG,TDOa First,TDOa Last,TDOa Best,TDOa AVG,ppr pts First,Last,ppr pts Best,ppr pts AVG,ppr ppg First,ppr ppg Last,ppr ppg Best,ppr ppg AVG,Production Score (Pos Specific),Combine Score,Post Draft,PRE-DRAFT,18,19,20,21,22,23,BMI,SPORK (discount SPAQ-x),40 time,height,weight,Bench,Verticle,Broad,Shuttle,3 Cone,WaSS,HaSS,Hand Size,Arm Length,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,# of top  36 finishes,# of 1000 Rush yards seasons,AVG PPG (PPR) Season 1-3
Zach Line,Line130RB,SMU,CUSA,UDFA,UDFA,RB,2013,23,4,75.0,853.0,4784.0,5.6,50.0,1,1.5,26.5,26.5,15.2,12.5,87.5,0.3,1.8,1.7,1.4,73.2,11.3,36.8,38.4,31.1,-4.6,29.9,29.9,16.3,77.70,261.70,261.70,208.85,5.98,20.13,25.33,17.19,4.2,136.4,0.00,8.43,,-4.6,17.5,22.4,29.9,,31.03203662,114,4.735,72.5,232,26,31.75,114,4.45,7.17,92.30772492,89.66880618,8.625,30.75,0,0,0,0,0,2.025
Trent Richardson,Richardson123RB,Alabama,SEC,1,3,RB,2012,22,3,68.0,608.0,3860.0,6.3,38.0,2,1.8,14.4,27.5,16.8,18.9,81.1,0.9,2.4,2.4,1.5,60.8,13.7,38.1,38.1,23.4,-2.2,22.1,22.1,6.0,151.70,374.70,374.70,235.33,10.84,28.82,28.82,18.66,0.6,114.6,12.21,10.61,,-2.2,-1.8,22.1,,,33.42670733,NA,4.53,69.25,228,25,NA,NA,NA,NA,108.285931,95.96067637,9.5,30.25,0,1,1,2,1,11.43333333
LaMichael James,James1261RB,Oregon,Pac-12,2,61,RB,2012,22,3,51.0,822.0,5668.0,6.9,37.0,0,1.4,9.8,10.7,10.4,10.3,89.7,2.0,2.0,2.0,2.0,46.7,23.8,23.8,28.0,25.2,7.9,7.8,7.9,7.8,272.40,332.50,354.90,319.93,20.95,27.71,29.58,26.08,3.2,120.1,11.57,11.95,,7.9,7.8,7.8,,,29.49729638,113,4.455,68,194,15,35,123,4.12,6.88,98.50105728,84.13833024,9,30.25,0,0,0,0,0,2.006666667
Doug Martin,Martin1231RB,Boise State,MWC,1,31,RB,2012,23,4,67.0,683.0,4150.0,6.1,48.0,2,1.4,33.5,33.5,16.4,17.2,82.8,0.2,1.8,1.6,1.1,54.6,1.7,30.0,30.0,19.0,-14.2,23.0,23.0,4.2,19.10,291.40,291.40,191.00,1.91,24.28,24.28,15.27,-1.1,112.4,10.12,8.48,,-14.2,-0.1,8.2,23.0,,32.6936655,136.2,4.55,69.25,223,28,36,120,4.16,6.79,104.061306,92.21336075,9,30.5,1,2,2,2,2,12.62333333
Isaiah Pead,Pead1250RB,Cincinnati,Big East,2,50,RB,2012,22,4,87.0,632.0,4009.0,6.3,42.0,3,2.1,5.4,20.2,20.2,18.0,82.0,0.2,1.8,1.8,1.2,48.4,3.0,30.9,30.9,20.8,-5.5,14.9,14.9,5.6,22.50,286.80,286.80,171.48,3.75,22.06,22.06,14.79,2.2,132.3,10.03,9.09,-5.5,7.3,5.7,14.9,,,28.16558558,108.4,4.47,70.125,197,NA,33,116,4.375,6.905,98.68840485,89.65762032,8.625,31,0,0,0,0,0,2.855
Ronnie Hillman,Hillman1267RB,San Diego State,MWC,3,67,RB,2012,20,2,33.0,606.0,3581.0,5.9,26.0,1,1.3,4.3,13.6,13.6,9.4,90.6,1.9,2.1,2.1,2.0,69.7,34.1,37.9,37.9,36.0,25.6,22.0,25.6,23.8,277.00,342.10,342.10,309.55,21.31,26.32,26.32,23.81,8.3,128.6,10.02,9.76,25.6,22.0,,,,,29.74972106,NA,4.45,68.75,200,17,37,NA,NA,NA,102.0046447,89.07107285,8.5,30,0,0,0,1,0,7.96
David Wilson,Wilson1232RB,Virginia Tech,ACC,1,32,RB,2012,21,3,37.0,499.0,3025.0,6.1,36.0,1,1.0,0.0,27.4,7.0,12.0,88.0,0.4,1.9,1.9,1.1,49.7,6.2,27.1,27.1,16.4,-2.3,6.8,6.8,1.5,57.40,265.80,265.80,159.17,6.38,18.99,18.99,12.41,0.9,131.6,9.99,8.31,-2.3,0.0,6.8,,,,29.87687096,126.1,4.47,69.625,206,NA,41,132,4.12,7.09,103.1970122,92.42813658,9.375,30.25,0,0,0,0,0,4.54
Robert Turbin,Turbin12106RB,Utah State,WAC,4,106,RB,2012,22,3,67.0,629.0,4143.0,6.6,37.0,2,1.8,34.5,34.5,10.1,20.4,79.6,1.0,2.0,1.9,1.6,49.9,24.2,29.3,37.0,30.2,15.7,13.3,21.0,16.7,154.10,323.80,323.80,262.43,12.84,24.91,25.78,21.18,6.5,128.6,9.99,11.28,15.7,21.0,,13.3,,,31.85335647,133.2,4.5,70,222,28,36,122,4.31,7.16,108.2761774,98.03897904,9.75,31,0,0,0,0,0,4.173333333
Bernard Pierce,Pierce1284RB,Temple,MAC,3,84,RB,2012,22,3,19.0,682.0,3748.0,5.5,33.0,0,0.6,2.8,10.7,3.4,4.7,95.3,1.7,1.9,1.9,1.6,59.8,27.5,29.6,29.6,27.4,11.6,13.6,13.6,10.0,244.00,318.30,318.30,239.27,20.33,26.53,26.53,21.38,3.7,139.6,9.89,10.24,,11.6,4.9,13.6,,,29.3615581,113.9,4.46,72.25,218,17,36.5,123,4.415,7.325,110.191236,106.2925065,9.25,31.5,0,0,0,0,0,4.583333333
Lamar Miller,Miller1297RB,Miami (FL),ACC,4,97,RB,2012,21,2,28.0,363.0,2099.0,5.8,23.0,0,1.2,12.9,12.9,6.3,8.6,91.4,0.8,1.9,1.9,1.3,61.2,15.4,32.6,32.6,24.0,-0.5,12.3,12.3,5.9,121.20,212.70,212.70,166.95,11.02,17.73,17.73,14.37,2.3,153.5,9.39,9.98,,-0.5,12.3,,,,29.77702324,126.2,4.4,70.75,212,NA,34.25,120,4.13,6.99,113.1241035,104.6286322,9.25,31.375,1,2,5,5,5,8.643333333
Vick Ballard,Ballard12170RB,Mississippi State,SEC,5,170,RB,2012,22,2,30.0,409.0,2450.0,6.0,25.0,1,1.2,9.9,13.6,13.6,12.0,88.0,1.2,1.6,1.6,1.4,56.4,28.6,29.3,29.3,29.0,8.4,13.3,13.3,10.8,237.40,223.60,237.40,230.50,19.78,17.20,19.78,18.49,2.8,120.2,6.38,8.20,,,8.4,13.3,,,31.19965308,116.8,4.63,70.25,219,23,33,115,4.19,7.015,95.31256264,86.91704595,9.5,31.75,0,0,0,1,0,7.23
Cyrus Gray,Gray12182RB,Texas A&M,Big 12,6,182,RB,2012,22,4,103.0,735.0,4074.0,5.5,49.0,3,2.1,14.2,23.0,18.6,19.0,81.0,0.5,1.4,1.2,1.0,49.1,10.8,24.5,31.4,20.7,2.3,8.5,11.1,5.5,58.30,249.40,255.10,182.78,4.86,22.67,22.67,15.03,2.4,134.8,6.17,8.36,2.3,0.1,11.1,8.5,,,29.24345705,113.9,4.47,70.375,206,21,32.5,114,4.33,7.18,103.1970122,94.43203083,9.125,29.5,0,0,0,0,0,2.3
Evan Rodriguez,Rodriguez12111RB,Temple,MAC,4,111,RB,2012,23,3,69.0,70.0,872.0,12.5,31.0,2,2.2,100.0,100.0,100.0,99.9,0.1,0.2,0.6,0.6,0.4,0.0,7.7,11.8,11.8,8.5,-12.6,4.8,4.8,-5.9,45.50,94.90,94.90,66.07,5.06,7.91,7.91,6.25,-2.5,122.1,6.03,5.29,,,-12.6,-9.9,4.8,,31.10437864,NA,4.65,73.5,239,18.5,36,119,4.28,6.94,102.2388804,102.0816721,9.5,32,0,0,0,0,0,0.82
Alfred Morris,Morris12173RB,Florida Atlantic,Sun Belt,6,173,RB,2012,23,4,30.0,762.0,3829.0,5.0,39.0,0,0.8,0.0,10.5,10.5,7.8,92.2,0.0,1.8,1.8,1.2,91.3,0.3,50.8,50.8,33.0,-15.6,43.8,43.8,18.2,2.30,207.50,235.60,149.73,0.77,17.29,19.63,12.62,3.2,117.7,5.71,7.28,,-15.6,17.4,27.2,43.8,,31.53543168,107.4,4.665,69.875,219,16,35.5,117,4.19,7.01,92.48419446,83.43902384,10.25,31.375,0,1,3,3,3,12.72
Chris Rainey,Rainey12159RB,Florida,SEC,5,159,RB,2012,24,5,69.0,465.0,3259.0,7.0,49.0,2,1.4,0.0,37.1,30.7,24.4,75.6,0.0,1.6,1.6,0.8,29.4,0.1,21.9,21.9,10.9,-15.8,21.6,21.6,-0.9,1.00,179.20,179.20,101.78,1.00,14.93,14.93,9.10,-3.5,120.5,5.00,5.61,,-15.8,-12.6,-5.1,7.2,21.6,27.06924443,120.5,4.44,68.375,180,16,36.5,120,4.04,6.5,92.63404324,79.99013467,9.5,30.75,0,0,0,0,0,1.615
Dan Herron,Herron12191RB,Ohio State,Big Ten,6,191,RB,2012,23,4,44.0,637.0,3181.0,5.0,40.0,0,1.1,6.2,13.5,4.8,9.7,90.3,0.6,1.5,0.9,0.9,35.3,11.9,11.0,26.3,16.5,-4.1,4.0,10.3,1.7,88.80,97.20,248.50,140.03,8.88,13.89,19.12,13.61,-0.6,121.6,3.59,4.69,,-4.1,-3.6,10.3,4.0,,30.78147926,122.1,4.645,69.75,213,22,35,117,4.04,6.97,91.50961449,82.26027488,9,32,0,0,0,0,0,4.26
Bradie Ewing,Ewing12157RB,Wisconsin,Big Ten,5,157,RB,2012,22,3,28.0,35.0,361.0,10.3,21.0,1,1.3,0.0,100.0,100.0,90.9,9.1,0.0,0.3,0.3,0.1,1.0,0.9,1.9,4.4,2.4,-7.5,-14.1,-7.5,-12.5,7.40,44.60,44.60,29.37,3.70,4.05,4.51,4.09,-4.5,122.0,3.33,2.91,-7.5,,-15.9,-14.1,,,32.64016891,NA,4.76,71.75,239,14,36.5,120,4.16,7.14,93.11080593,88.58997832,10.375,31.375,0,0,0,0,0,2.45
Edwin Baker,Baker12250RB,Michigan State,Big Ten,7,250,RB,2012,21,3,15.0,477.0,2418.0,5.1,35.0,0,0.4,9.1,9.1,8.3,5.2,94.8,0.6,1.5,0.8,1.0,42.4,7.8,15.8,28.1,17.2,-0.7,-4.4,12.2,2.4,60.00,113.50,203.30,125.60,7.50,8.11,15.64,10.42,1.3,105.5,2.75,5.74,-0.7,12.2,-4.4,,,,31.01777557,111.9,4.58,68,204,20,35,111,4.36,7.32,92.72530085,79.21271983,8.125,29.625,0,0,0,0,0,8.6
Bryce Brown,Brown12229RB,Kansas State,Big 12,7,229,RB,2012,21,2,11.0,115.0,616.0,5.4,13.0,0,0.8,22.9,22.9,15.8,22.7,77.3,0.7,0.7,0.0,0.4,9.7,11.6,0.2,11.6,5.9,3.1,-20.1,3.1,-8.5,93.70,2.90,93.70,48.30,7.81,2.90,7.81,5.35,-3.4,129.8,2.48,4.48,3.1,,-20.1,,,,30.66839772,121.4,4.53,71.5,223,22,34,117,4.25,7.09,105.9112395,100.0559922,NA,NA,0,0,0,0,0,5.626666667
Matt Asiata,Asiata120RB,Utah,MWC,UDFA,UDFA,RB,2012,25,4,54.0,433.0,2142.0,4.9,31.0,1,1.7,0.0,21.9,21.9,18.4,81.6,0.0,1.1,1.1,0.6,37.2,0.2,18.7,22.8,12.6,-20.1,18.4,18.4,1.8,1.60,175.00,182.60,108.50,1.60,13.46,18.70,11.95,-1.9,NA,0.00,3.69,,,-20.1,6.8,1.9,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,0,14.15
Bobby Rainey,Rainey120RB,Western Kentucky,Sun Belt,UDFA,UDFA,RB,2012,24,3,44.0,570.0,3168.0,5.6,31.0,1,1.4,3.0,12.2,12.2,10.1,89.9,0.4,2.4,2.4,1.4,74.7,5.4,40.7,40.7,23.0,-14.8,33.7,33.7,8.6,34.70,311.15,311.15,167.68,4.96,25.93,25.93,14.66,-0.4,96.6,0.00,7.06,,,-14.8,7.0,33.7,,31.75079559,126.3,4.56,67.375,205,24,35.5,120,4.18,6.66,94.82535692,79.52381438,NA,NA,0,0,0,1,0,9.77
Jonas Gray,Gray120RB,Notre Dame,Ind,UDFA,UDFA,RB,2012,22,4,11.0,200.0,1205.0,6.0,25.0,0,0.4,0.0,31.2,4.6,8.7,91.3,0.1,0.9,0.9,0.3,42.8,1.6,21.7,21.7,6.8,-6.9,5.7,5.7,-8.4,9.00,160.90,160.90,50.88,3.00,14.63,14.63,5.91,-5.7,24.6,0.00,4.63,-6.9,-13.6,-18.7,5.7,,,32.22661914,NA,NA,69.75,223,25.5,NA,NA,NA,NA,NA,NA,10,31.375,0,0,0,0,0,9.11
Chris Polk,Polk120RB,Washington,Pac-12,UDFA,UDFA,RB,2012,22,4,79.0,878.0,4732.0,5.4,40.0,3,2.0,0.0,18.2,18.2,14.4,85.6,0.0,2.1,2.1,1.4,68.5,0.7,39.5,39.5,25.1,-7.8,23.5,23.5,10.0,4.30,309.00,309.00,183.05,2.15,23.77,23.77,14.83,4.1,127.3,0.00,9.22,-7.8,11.8,12.3,23.5,,,30.41294897,106.2,4.535,70.5,215,16,31.5,111,4.21,7.13,101.66215,93.36588666,9.75,31.5,0,0,0,0,0,5.85
Derrick Coleman,Coleman120RB,UCLA,Pac-12,UDFA,UDFA,RB,2012,21,3,13.0,301.0,1549.0,5.1,36.0,0,0.4,9.6,9.6,3.0,3.4,96.6,0.3,0.9,0.9,0.6,38.9,6.3,19.7,19.7,12.7,-2.1,-0.6,-0.6,-2.2,38.00,149.90,149.90,89.97,3.45,10.71,10.71,7.21,-1.1,124.2,0.00,6.21,-2.1,-3.9,-0.6,,,,31.85344479,112.5,4.55,71.25,230,20,36.5,125,4.54,7.39,107.3278044,100.6910508,NA,NA,0,0,0,0,0,4.615
Fozzy Whittaker,Whittaker120RB,Texas,Big 12,UDFA,UDFA,RB,2012,23,1,16.0,82.0,531.0,6.5,9.0,0,1.8,27.3,27.3,27.3,27.3,72.7,0.6,0.6,0.6,0.6,19.7,12.9,12.9,12.9,12.9,5.9,5.9,5.9,-,111.10,111.10,111.10,-,12.34,12.34,12.34,-,0.0,250.1,0.00,0.00,,,,,5.9,,28.50082522,NA,NA,69,193,21.5,NA,NA,NA,NA,NA,NA,9.25,NA,0,0,0,0,0,5.175
Brandon Bolden,Bolden120RB,Ole Miss,SEC,UDFA,UDFA,RB,2012,22,4,76.0,562.0,3411.0,6.1,47.0,2,1.6,16.5,26.1,23.7,23.7,76.3,0.8,1.6,0.8,1.0,37.9,13.4,20.4,30.4,19.5,4.9,4.4,10.1,4.3,112.75,106.15,266.35,154.39,8.67,10.62,22.20,13.13,2.0,122.8,0.00,8.27,4.9,-2.0,10.1,4.4,,,31.07170879,110.5,4.605,70.875,222,21,38,119,4.405,6.96,98.73347713,91.64941482,10,32.25,0,0,0,0,0,5.286666667
William Powell,Powell120RB,Kansas State,Big 12,UDFA,UDFA,RB,2012,24,1,1.0,24.0,255.0,10.6,7.0,0,0.1,2.0,2.0,2.0,2.0,98.0,0.3,0.3,0.3,0.3,9.8,4.9,4.9,4.9,4.9,-2.0,-2.0,-2.0,-,50.50,50.50,50.50,-,7.21,7.21,7.21,-,0.0,NA,0.00,0.00,,,,,-2.0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4.37
Lance Dunbar,Dunbar120RB,North Texas,Sun Belt,UDFA,UDFA,RB,2012,22,4,97.0,879.0,5257.0,6.0,41.0,3,2.4,22.3,23.9,23.9,19.6,80.4,0.3,2.4,1.8,1.6,62.9,6.8,35.5,43.5,30.9,-1.7,19.5,23.3,15.8,46.90,247.50,312.50,229.18,9.38,20.63,26.04,20.47,8.0,111.3,0.00,11.56,-1.7,22.1,23.3,19.5,,,31.05554376,105.4,4.52,68.125,205,11,35,120,4.12,6.92,98.22682748,84.22241246,NA,NA,0,0,0,0,0,3.523333333
Joe Banyard,Banyard120RB,UTEP,CUSA,UDFA,UDFA,RB,2012,23,1,17.0,126.0,730.0,5.8,13.0,0,1.3,14.7,14.7,14.7,14.7,85.3,0.9,0.9,0.9,0.9,39.3,20.6,20.6,20.6,20.6,4.6,4.6,4.6,-,138.00,138.00,138.00,-,10.62,10.62,10.62,-,0.1,131.8,0.00,0.00,,,,4.6,,,29.81204492,123.9,4.51,70.875,213,25,35.5,120,4.34,7.11,102.9682737,95.57342241,8.625,30,0,0,0,0,0,2.71
Jamize Olawale,Olawale120RB,North Texas,Sun Belt,UDFA,UDFA,RB,2012,23,2,8.0,8.0,88.0,11.0,6.0,0,1.3,100.0,100.0,100.0,100.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,0.1,1.0,0.5,-15.1,-6.9,-6.9,-11.0,13.90,2.90,13.90,8.40,3.48,1.45,3.48,2.46,-1.8,NA,0.00,2.95,,,,-15.1,-6.9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1.995
Jorvorskie Lane,Lane120RB,Texas A&M,Big 12,UDFA,UDFA,RB,2012,25,4,26.0,515.0,2464.0,4.8,45.0,0,0.6,7.5,21.8,21.8,11.0,89.0,0.8,0.9,0.2,0.7,33.0,15.6,11.3,22.9,18.1,7.1,-4.7,7.1,2.9,127.05,45.90,205.95,145.70,12.71,5.10,15.84,12.33,2.1,NA,0.00,5.85,7.1,6.4,2.7,-4.7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2.565
Patrick Dimarco,Dimarco120RB,South Carolina,SEC,UDFA,UDFA,RB,2012,23,3,22.0,33.0,190.0,5.8,17.0,0,1.3,100.0,100.0,71.6,82.1,17.9,0.0,0.1,0.1,0.1,0.9,1.5,2.5,2.5,1.9,-7.0,-17.7,-7.0,-13.0,13.20,30.90,30.90,19.67,3.30,3.43,3.73,3.49,-6.4,NA,0.00,2.32,-7.0,-14.2,-17.7,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.725
Will Ta'Ufo'Ou,Ta'Ufo'Ou120RB,California,Pac-10,UDFA,UDFA,RB,2012,26,3,13.0,27.0,173.0,6.4,20.0,0,0.7,90.0,90.0,50.9,53.8,46.2,0.0,0.1,0.1,0.1,0.9,0.2,1.5,1.5,0.9,-20.1,-5.4,-5.4,-13.5,4.00,18.30,18.30,12.10,1.33,1.83,2.00,1.72,-4.6,NA,0.00,2.85,,,-20.1,-15.0,-5.4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1.743333333
Robert Hughes,Hughes120RB,Notre Dame,Ind,UDFA,UDFA,RB,2012,23,4,42.0,363.0,1763.0,4.9,39.0,0,1.1,5.5,31.8,18.3,21.0,79.0,0.4,0.7,0.4,0.5,26.3,17.0,9.5,17.6,15.1,8.5,-6.5,8.5,0.0,58.10,55.70,109.00,77.08,7.26,6.19,10.90,7.87,0.3,NA,0.00,5.00,8.5,0.5,-2.7,-6.5,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1.25
Will Johnson,Johnson120RB,West Virginia,Big East,UDFA,UDFA,RB,2012,22,3,24.0,24.0,249.0,10.4,17.0,0,1.4,100.0,100.0,100.0,100.0,0.0,0.1,0.1,0.1,0.1,0.0,2.0,3.0,3.0,2.6,-6.5,-17.2,-6.5,-12.3,21.40,31.70,31.70,24.30,4.28,3.96,4.95,4.40,-6.1,134.9,0.00,2.22,-6.5,-13.0,-17.2,,,,31.36466633,111.6,4.76,73.5,241,25,30.5,106,4.42,7.37,93.88997585,93.74680338,NA,NA,0,0,0,0,0,1.89
Jeremy Stewart,Stewart120RB,Stanford,Pac-12,UDFA,UDFA,RB,2012,23,5,18.0,227.0,1043.0,4.6,38.0,0,0.5,3.9,23.5,23.5,11.8,88.2,0.4,0.4,0.4,0.2,22.8,10.1,10.6,10.6,5.2,1.6,3.6,3.6,-8.3,54.70,100.60,100.60,42.46,4.97,7.74,7.74,5.00,-5.4,108.3,0.00,0.80,1.6,-15.0,-18.5,-13.3,3.6,,28.40326543,NA,4.6,66.75,180,21,36,124,4.08,6.86,80.40280016,66.16397479,10,32,0,0,0,0,0,3.286666667
Mark Ingram,Ingram1128RB,Alabama,SEC,1,28,RB,2011,21,3,60.0,632.0,3931.0,6.2,39.0,2,1.5,6.9,24.4,24.4,17.0,83.0,0.9,2.1,1.4,1.5,47.1,16.9,23.1,34.7,24.9,8.5,2.9,18.8,10.0,157.20,220.70,351.20,243.03,11.23,20.06,25.09,18.79,4.9,110.8,10.81,9.43,8.5,18.8,2.9,,,,31.63490092,99.6,4.62,69.125,215,21,31.5,113,4.62,7.13,94.38447259,83.33090943,9.5,30.75,1,4,5,6,4,7.053333333
Demarco Murray,Murray1171RB,Oklahoma,Big 12,3,71,RB,2011,23,4,157.0,916.0,5256.0,5.7,49.0,3,3.2,7.3,42.5,32.9,29.9,70.1,0.9,1.5,1.5,1.2,62.8,16.9,37.8,37.8,25.9,1.0,30.8,30.8,11.1,174.40,371.80,371.80,265.15,15.85,26.56,26.56,21.32,2.0,144.9,10.07,10.00,,1.0,0.4,12.1,30.8,,29.19097768,125,4.43,71.625,213,21,34.5,NA,4.18,7.28,110.6100769,104.8527145,9.25,32,2,3,5,7,4,15.23666667
Ryan Williams,Williams1138RB,Virginia Tech,ACC,2,38,RB,2011,21,2,26.0,429.0,2421.0,5.6,23.0,0,1.1,9.8,18.6,18.6,11.9,88.1,2.3,2.3,0.7,1.5,43.2,35.1,13.7,35.1,24.4,19.2,-6.5,19.2,6.3,331.50,128.60,331.50,230.05,25.50,12.86,25.50,19.18,2.6,116.6,9.98,8.54,,19.2,-6.5,,,,30.96907088,118.2,4.59,69.375,212,19,40,123,4.18,6.96,95.52457507,84.94700786,9,30.75,0,0,0,0,0,5.56
Mikel Leshoure,Leshoure1157RB,Illinois,Big Ten,2,57,RB,2011,21,3,37.0,461.0,2996.0,6.5,31.0,0,1.2,34.4,34.4,10.4,14.7,85.3,0.2,2.1,2.1,1.1,55.6,3.5,34.5,34.5,18.8,-5.0,14.2,14.2,3.9,31.20,326.30,326.30,168.20,3.90,25.10,25.10,14.57,2.2,125.2,9.72,8.89,-5.0,2.6,14.2,,,,31.10963349,117.1,4.65,71.625,227,21,38,122,4.4,6.82,97.10554751,92.06117837,9.5,32.625,0,0,1,1,0,7.315
Shane Vereen,Vereen1156RB,California,Pac-10,2,56,RB,2011,22,3,74.0,630.0,3508.0,5.6,38.0,3,1.9,23.6,23.6,15.2,19.2,80.8,1.1,1.8,1.8,1.5,64.6,15.1,39.5,39.5,27.1,-0.8,23.4,23.4,9.7,150.60,255.60,255.60,211.60,11.58,21.30,21.30,16.82,2.4,126.7,9.56,8.61,,-0.8,6.4,23.4,,,29.91747556,135.2,4.55,70.25,210,31,34,115,4.28,6.95,97.99495183,89.35642349,9,30.625,0,0,1,3,0,9.986666667
Roy Helu,Helu11105RB,Nebraska,Big 12,4,105,RB,2011,22,4,54.0,632.0,3905.0,6.2,48.0,1,1.1,16.1,24.9,3.6,12.8,87.2,0.3,1.5,1.4,1.1,44.1,3.2,18.0,28.2,16.7,-5.2,2.0,7.9,1.5,29.90,200.10,208.60,153.13,4.27,14.29,14.90,11.71,1.0,145.6,9.16,9.94,-5.2,1.4,7.9,2.0,,,30.11829193,118.2,4.44,71.5,219,11,36.5,119,4.01,6.67,112.7047526,106.4706294,10.25,31.375,0,0,0,2,0,7.263333333
Alex Green,Green1196RB,Hawaii,WAC,3,96,RB,2011,23,2,38.0,270.0,2113.0,7.8,27.0,1,1.4,17.8,23.2,23.2,21.8,78.2,0.6,1.7,1.7,1.2,73.3,14.3,38.9,38.9,26.6,-1.7,31.9,31.9,15.1,84.10,297.20,297.20,190.65,6.47,21.23,21.23,13.85,2.2,129.1,8.66,8.80,,,,-1.7,31.9,,30.30436042,NA,4.55,72.25,225,20,34,114,4.15,6.91,104.9945912,101.2851397,9.125,32,0,0,0,0,0,3.563333333
Kendall Hunter,Hunter11115RB,Oklahoma State,Big 12,4,115,RB,2011,22,4,63.0,771.0,4700.0,6.1,46.0,2,1.4,16.4,17.8,6.1,11.0,89.0,0.9,2.0,1.7,1.3,64.4,10.8,32.7,32.7,18.6,2.3,16.7,16.7,3.5,123.30,280.90,299.30,191.75,10.28,21.61,23.02,15.71,0.3,97.9,8.00,8.53,2.3,9.2,-14.4,16.7,,,30.93618858,122.2,4.59,67.25,199,24,35,122,4.21,6.74,89.66693603,74.91430923,8.75,31,0,0,0,0,0,5.186666667
Daniel Thomas,Thomas1162RB,Kansas State,Big 12,2,62,RB,2011,23,2,52.0,597.0,3278.0,5.5,25.0,2,2.1,16.9,16.9,9.7,13.1,86.9,1.9,2.1,2.1,2.0,54.7,30.1,28.9,30.1,29.5,14.1,21.9,21.9,18.0,249.70,324.85,324.85,287.28,20.81,24.99,24.99,22.90,2.8,127.8,7.95,6.32,,,,14.1,21.9,,30.97779065,112.7,4.67,72.25,230,21,34,123,4.34,7.11,96.71421462,93.30068387,9,32.375,0,0,0,0,0,6.896666667
Jacquizz Rodgers,Rodgers11145RB,Oregon State,Pac-10,5,145,RB,2011,21,3,151.0,939.0,4933.0,5.3,36.0,3,4.2,16.5,26.6,19.5,21.4,78.6,1.6,2.2,2.0,1.9,79.9,31.1,46.4,46.4,40.7,22.7,26.1,28.7,25.8,251.00,297.65,410.90,319.85,22.82,24.80,31.61,26.41,12.4,75.8,7.85,9.50,22.7,28.7,26.1,,,,31.7550735,95.2,4.635,65.875,196,13,33.5,114.5,4.32,7.335,84.93508253,68.08386195,8.875,30.5,0,0,0,2,0,7.36
Delone Carter,Carter11119RB,Syracuse,Big East,4,119,RB,2011,24,4,28.0,674.0,3312.0,4.9,41.0,0,0.7,6.1,10.3,3.5,6.3,93.7,1.0,1.6,1.6,1.1,69.1,26.9,34.5,37.4,25.2,11.0,34.3,34.3,15.4,108.90,189.80,196.80,127.30,9.08,14.60,16.40,10.88,3.9,106.7,6.62,6.53,,11.0,,-14.1,30.4,34.3,33.14259935,138.4,4.545,68.625,222,27,37,120.5,4.07,6.92,104.0512783,90.54547847,9.5,31,0,0,0,0,0,4.265
Bilal Powell,Powell11126RB,Louisville,Big East,4,126,RB,2011,22,4,45.0,480.0,2684.0,5.6,37.0,0,1.2,11.8,20.7,10.1,12.8,87.2,0.2,1.9,1.9,0.8,62.7,5.1,36.3,36.3,15.8,-3.4,20.3,20.3,0.7,36.20,258.30,258.30,111.35,9.05,21.53,21.53,11.27,-1.7,129.6,6.47,6.59,-3.4,-8.1,-6.1,20.3,,,29.28130436,NA,4.56,70.5,207,18,NA,NA,NA,NA,95.75048236,87.93058076,8.75,30.875,0,0,1,4,0,6.843333333
